brand,unique_orders,revenue,avg_price,total_events,unique_products
samsung,301239,89530122.01,251.24491929192416,356346,951
apple,69621,47508355.08,641.7793083511199,74026,704
lg,51271,25988163.2,469.77030783969917,55321,369
bosch,28082,11024921.88,326.8774276565465,33728,465
huawei,51240,10642680.51,187.8705804162474,56649,134
asus,20264,10606186.69,516.7699615084779,20524,419
lenovo,19431,10493659.79,535.7735009700806,19586,278
ava,109345,8495886.71,72.33804788542918,117447,293
beko,29668,8441977.75,263.7870746492516,32003,115
oppo,33924,7257887.72,201.20000332658773,36073,67
tefal,69364,6409954.9,82.03587206921266,78136,394
hp,17847,6002012.38,303.177874425418,19797,329
sony,23369,5808053.95,218.07734577403974,26633,533
electrolux,9574,4986130.35,391.71422342682064,12729,207
xiaomi,32236,4426721.7700000005,133.92798747466193,33053,238
philips,48948,4278866.47,82.453972906309,51894,338
hansa,8990,3111310.05,297.9896609520161,10441,182
grohe,13001,2831747.1999999997,162.33359321256592,17444,18
indesit,8995,2788048.47,301.6389126906849,9243,55
gorenje,7332,2535516.36,318.5722276667923,7959,126
hotpoint-ariston,6565,2126149.82,305.83282796317604,6952,168
moulinex,19049,2059547.73,104.96115227805524,19622,50
braun,21333,2008881.37,91.22985331516803,22020,143
cilek,3131,1826563.11,540.5632169280852,3379,7
birjusa,6286,1800595.93,284.00566719242903,6340,47
delonghi,6290,1642802.1300000001,242.51581488042518,6774,99
neo,41151,1613474.75,38.13008980267045,42315,156
midea,8433,1564022.22,183.14077517564402,8540,74
polaris,39188,1563614.78,38.685142630940895,40419,207
honor,11655,1511628.15,118.42903086806643,12764,41
janome,6303,1229719.01,187.17184322678844,6570,39
kenwood,4589,1195872.69,237.60633618120403,5033,54
tcl,4623,1156856.1,248.83977199397722,4649,15
panasonic,15675,1133332.61,71.24741371723141,15907,236
ariston,7424,994801.59,132.74640912730183,7494,39
bork,2796,932723.8200000001,301.4621266968326,3094,131
vitek,32269,912788.31,27.45971270419061,33241,55
dyson,1505,886755.79,578.822317232376,1532,35
canon,4509,878385.92,150.22847956216864,5847,214
atlant,2510,812301.37,322.7260111243544,2517,58
redmond,13237,765204.6,47.52233262948702,16102,77
rowenta,17559,763886.04,42.09434286658952,18147,85
epson,6099,728300.83,78.08521818376755,9327,85
vivo,3487,639557.73,172.99370570733026,3697,18
dji,1338,637685.9299999999,395.09661090458485,1614,214
garmin,795,575422.39,700.8798903775884,821,89
pozis,1672,571855.5,341.20256563245823,1676,25
scarlett,24590,568477.77,22.60528749801177,25148,87
tvs,14513,562106.88,30.469800520381614,18448,79
none,13078,550990.24,41.16167936650231,13386,300
thermex,4970,536013.12,107.202624,5000,36
jbl,10523,523997.66,48.059952306704574,10903,169
deluxe,13832,521348.26,36.63726352775826,14230,52
hyperx,5921,498617.19,75.49086903860712,6605,70
transcend,17313,497105.14,27.903740667976425,17815,132
